Регион,Ведомство,Сайт,Название Управления,ФИО руководителя пресс-службы (ФСКН) / Отдела информации и общественных связей (МВД),Основной email,Дополнительный email,ФИО начальника Управления,Комментарий
Самарская область,МВД,https://63.mvd.ru/press/rukovodstvo,ГУ МВД России по Самарской области,Гольдштейн Сергей Валерьевич,mvd63@mvd.gov.ru,,Солодовников Сергей Александрович,
Саратовская область,МВД,https://64.mvd.ru/OIOS,ГУ МВД России по Саратовской области,Рассказов Дмитрий Александрович,mvd64@mvd.gov.ru,,Аренин Сергей Петрович,
Республика Татарстан,МВД,https://16.mvd.ru/press_slujba/Kontakti,МВД по Республике Татарстан,Нижельская Ирина Алексеевна,mvd16@mvd.gov.ru,,Хохорин Артем Валерьевич,
Республика Удмуртия,МВД,https://18.mvd.ru/press/Kontakti,МВД по Удмуртской Республике,Коротояцкий Николай Федорович,mvd18@mvd.gov.ru,press@mvd-udm.ru,Первухин Александр Сергеевич,
Ульяновская область,МВД,https://73.mvd.ru/press/presskontakt,УМВД России по Ульяновской области,Рыжов Алексей Евгеньевич,oiosuvd73@mail.ru,,Варченко Юрий Алексеевич,
Республика Чувашия,МВД,https://21.mvd.ru/press/press_slujba,МВД по Чувашской Республике,Ашнин Олег Константинович,mvd21@mvd.gov.ru,,Тимофеев Андрей Владимирович,
Республика Алтай,МВД,https://04.mvd.ru/press/Kontakti,МВД по Республике Алтай,Николаева Любовь Сергеевна,mvd04@mvd.gov.ru,,Удовенко Александр Иванович,
Алтайский край,МВД,https://22.mvd.ru/press/Kontakti,ГУ МВД России по Алтайскому краю,Ляпунова Светлана Алексеевна,mvd22@mvd.gov.ru,,Торубаров Олег Иванович,
Республика Бурятия,МВД,https://03.mvd.ru/press/Kontakti,МВД по Республике Бурятия,Маслова Наталья Львовна,mvd03@mvd.gov.ru,,Кудинов Олег Филиппович,
Забайкальский край,МВД,https://75.mvd.ru/press_slujba/Rukovodstvo_Oios,УМВД России по Забайкальскому краю,Иванова Лариса Владимировна,mvd75@mvd.gov.ru,,Деев Роман Викторович,
Иркутская область,МВД,https://38.mvd.ru/Press_sluzhba/press,ГУ МВД России по Иркутской области,Струглин Герман Викторович,mvd38@mvd.gov.ru,,Калищук Андрей Евстафьевич,
Кемеровская область,МВД,https://42.mvd.ru/press/Kontakti,ГУ МВД России по Кемеровской области,Ильясов Евгений Сабитович,mvd42@mvd.gov.ru,,Ларионов Юрий Николаевич,Ошибочный адрес
Красноярский край,МВД,https://24.mvd.ru/Press_sluzhba/123,ГУ МВД России по Красноярскому краю,Мужецкая Ирина Анатольевна,mvd24@mvd.gov.ru,,Антонов Вадим Валентинович,
Новосибирская область,МВД,https://54.mvd.ru/Press_sluzhba/Kontakti,ГУ МВД России по Новосибирской области,Щекотин Сергей Владимирович,mvd54@mvd.gov.ru,,Стерликов Юрий Юрьевич,
Омская область,МВД,https://55.mvd.ru/press/Press_sluzhba,УМВД России по Омской области,Цыгал Лариса Ивановна,mvd55@mvd.gov.ru,odir@pol.omsk.ru,Томчак Юрий Иосифович,
Томская область,МВД,https://70.mvd.ru/gu_mvd/Struktura/item/825521/,УМВД России по Томской области,Кукушкин Александр Яковлевич,mvd70@mvd.gov.ru,,Митрофанов Игорь Анатольевич,
Республика Тыва,МВД,https://17.mvd.ru/press/Kontakti,МВД по Республике Тыва,Чакчин Аржаана Сергеевна,mvd17@mvd.gov.ru,,Лобанов Александр Федорович,
Республика Хакасия,МВД,https://19.mvd.ru/Press_sluzhba/Informacija_o_press_sluzhbe/Kontakti,МВД по Республике Хакасия,Кузнецов Сергей Павлович,mvd19@mvd.gov.ru,,Ольховский Илья Иванович,
Северо-Кавказский Федеральный Округ,МВД,https://skfo.mvd.ru/press-slyjba/press_slugba,ГУ МВД России по СКФО,Толчинский Марк Вячеславович,skfo@mvd.gov.ru,,Ченчик Сергей Михайлович,
Республика Дагестан,МВД,https://05.mvd.ru/press/kontakti,МВД по Республике Дагестан,Убайдатова Фатина Алиевна,mvd05@mvd.gov.ru,,Магомедов Абдурашид Магомедович,
Республика Ингушетия,МВД,https://06.mvd.ru/press_slujba,МВД по Республике Ингушетия,?,mvd06@mvd.gov.ru,,Трофимов Александр Евгеньевич,
Республика Кабардино-Балкария,МВД,https://07.mvd.ru/press,МВД по Кабардино-Балкарской Республике,?,mvd07@mvd.gov.ru,,Ромашкин Игорь Константинович,Ошибочный адрес
Республика Карачаево-Черкессия,МВД,https://09.mvd.ru/press,МВД по Карачаево-Черкесской Республике,Карабашева Неля Сергеевна,mvd09@mvd.gov.ru,,Боташев Казимир Халисович,
Республика Северная Осетия,МВД,https://15.mvd.ru/press/Kontakti_OIOS_MVD_po_RSO_Alanija,МВД по Республике Северная Осетия-Алания,Кузнецов Андрей Михайлович,mvd15@mvd.gov.ru,,Рамонов Эльбрус Георгиевич,
Ставропольский край,МВД,https://26.mvd.ru/press,ГУ МВД России по Ставропольскому краю,?,?,,Олдак Александр Григорьевич,
Республика Чечня,МВД,https://95.mvd.ru/press/Kontakti/Press_sluzhba_MVD_po_CHR,МВД по Чеченской Республике,Дениев Магомед-Амин Увайсович,mvd95@mvd.gov.ru,,Алханов Руслан Шахаевич,
Архангельская область,МВД,https://29.mvd.ru/press/Kontakti,УМВД России по Архангельской области,Кононенко Игорь Анатольевич,mvd29@mvd.gov.ru,prsuvdao@yandex.ru,Волчков Сергей Александрович,
Вологодская область,МВД,https://35.mvd.ru/press,УМВД России по Вологодской области,Левашев Сергей Генрихович,mvd35@mvd.gov.ru,,Федотов Виталий Петрович,
Калининградская область,МВД,https://39.mvd.ru/Press_sluzhba/kontakti_press,УМВД России по Калининградской области,Поставничая Светлана Викторовна,mvd39@mvd.gov.ru,,Мартынов Евгений Владимирович,
Республика Карелия,МВД,https://10.mvd.ru/press/howis,МВД по Республике Карелия,Розенберг Леонид Валерьянович,mvd10@mvd.gov.ru,,Кукушкин Василий Петрович,
Республика Коми,МВД,https://11.mvd.ru/Press/Kontakti,МВД по Республике Коми,Железцова Вера Борисовна,mvd11@mvd.gov.ru,pressamvdrk@list.ru,Половников Виктор Николаевич,Ошибочный первый адрес
Мурманская область,МВД,https://51.mvd.ru/press_service/Kontakti,УМВД России по Мурманской области,Шихова Марина Валерьевна,mvd51@mvd.gov.ru,,Баталов Игорь Валерьевич,
Новгородская область,МВД,https://53.mvd.ru/press/prcontacts,УМВД России по Новгородской области,Матюшкин Владимир Анатольевич,mvd53@mvd.gov.ru,,Коломыцев Сергей Владимирович,
Псковская область,МВД,https://60.mvd.ru/press/Kontakti,УМВД России по Псковской области,Малюта Василий Александрович,mvd60@mvd.gov.ru,,Егоров Игорь Владиславович,
Санкт-Петербург и Ленинградская область,МВД,https://78.mvd.ru/press/Kontakti,ГУ МВД России по Санкт-Петербургу и Ленинградской области,Степченко Вячеслав Валентинович,prmvd78@mvd.ru,,Умнов Сергей Павлович,
Ненецкий АО,МВД,https://83.mvd.ru/press_slujba/kontakty_press_slujbsy,УМВД России по Ненецкому автономному округу,Зубеня Анастасия Геннадьевна,mvd83@mvd.gov.ru,,Сахаров Сергей Иванович,
Курганская область,МВД,https://45.mvd.ru/press/Kontakti,УМВД России по Курганской области,Гейль Татьяна Рейнгольдовна,mvd45@mvd.gov.ru,,Ильиных Олег Владимирович,
Свердловская область,МВД,https://66.mvd.ru/press/UIiOS,ГУ МВД России по Свердловской области,Горелых Валерий Николаевич,mvd66_request@mvd.ru,,Бородин Михаил Анатольевич,
Тюменская область,МВД,https://72.mvd.ru/press/Press_sluzhba,УМВД России по Тюменской области,Новик Светлана Вячеславовна,mvd72@mvd.gov.ru,umvd72@mail.ru,Алтынов Юрий Петрович,
Ханты-Мансийский АО,МВД,https://86.mvd.ru/press_slujba,УМВД России по Ханты-Мансийскому автономному округу - Югре,Абмайкина Ольга Юрьевна,mvd86@mvd.gov.ru,,Романица Василий Иванович,
Челябинская область,МВД,https://74.mvd.ru/oios/press_contacts,ГУ МВД России по Челябинской области,Чиркова Анжелика Анатольевна,guvd74@mail.ru,,Сергеев Андрей Федорович,
Ямало-Ненецкий АО,МВД,https://89.mvd.ru/folder/1882367,УМВД России по Ямало-Ненецкому автономному округу,Пимкина Ирина Александровна,mvd89@mvd.gov.ru,,Сергеев Дмитрий Николаевич,
Республика Адыгея,МВД,https://01.mvd.ru/Press_sluzhba/Sotrudniki_OIiOS_MVD_po_Respublike_Adige,МВД по Республике Адыгея,Гомлешко Байзет Заурбечевич,mvd01@mvd.gov.ru,,Речицкий Александр Георгиевич,
Астраханская область,МВД,https://30.mvd.ru/press/contacts,УМВД России по Астраханской области,Русанов Пётр Александрович,mvd30@mvd.gov.ru,astuvd@yandex.ru,Агарков Олег Павлович,
Волгоградская область,МВД,https://34.mvd.ru/press/Kontakti_OI_i_OS_GU_MVD_Rossii_po_Volgog,ГУ МВД России по Волгоградской области,Смольянинова Светлана Сергеевна,mvd34@mvd.gov.ru,,Кравченко Александр Николаевич,
Республика Калмыкия,МВД,https://08.mvd.ru/press/Kontakti,МВД по Республике Калмыкия,Басхаев Андрей Николаевич,mvd08@mvd.gov.ru,,Мишагин Андрей Васильевич,
Краснодарский край,МВД,https://23.mvd.ru/folder/893060,ГУ МВД России по Краснодарскому краю,Пирогова Мария Александровна,mvd23@mvd.gov.ru,,Виневский Владимир Николаевич,
Ростовская область,МВД,https://61.mvd.ru/gumvd/Struktura/Podrazdelenija/Otdel_informacii_i_obshhestvennih_svjaze,ГУ МВД России по Ростовской области,Устименко Наталья Леонидовна,mvd61@mvd.gov.ru,,Ларионов Андрей Петрович,
Республика Крым,МВД,https://82.mvd.ru/presscenter/presscenter_contacts,МВД по Республике Крым,Кондрашова Ольга Владимировна,krm.mvd@yandex.ru,,Абисов Сергей Вадимович,
Севастополь,МВД,https://92.mvd.ru/Press_sluzhba/press_contacts,УМВД России по г. Севастополю,Фролях Елена Сергеевна,svt@mvd.gov.ru,,Павлов Василий Петрович,
Алтайский край,ФСКН,http://22.fskn.gov.ru/contacts/,Региональное Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Алтайскому краю,Селивёрстов Павел Анатольевич,fskn22@mail.ru,,Медведев Олег Валерьевич,
Амурская область,ФСКН,http://28.fskn.gov.ru/index.php?option=com_content&view=article&id=2%3Atonk-telephones&catid=72%3Acontact-adress&Itemid=2,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Амурской области,Федотова Светлана Викторовна,ufskn_press@amur.ru,PRESS@28FSKN.RU,Шаталов Иван Витальевич,Ошибочный первый адрес
Архангельская область,ФСКН,http://fskn.gov.ru/pages/main/info/map/szfo/4827/index.shtml,Региональное Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Архангельской области,?,pressa@antinark.ru,,Водолеев Антон Павлович,
Астраханская область,ФСКН,http://30.fskn.gov.ru/,Региональное Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Астраханской области,?,063000@rambler.ru,,Терещенко Дмитрий Иванович,
Белгородская область,ФСКН,http://www.31.fskn.gov.ru/contact.php,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Белгородской области,?,police@fskn31.ru,,Тимофеев Сергей Михайлович,
Брянская область,ФСКН,http://www.32.fskn.gov.ru/kont.html,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Брянской области,Титова Дарья Михайловна,info@32.fskn.gov.ru,,Бондарев Константин Георгиевич,
Владимирская область,ФСКН,http://www.vladnarko.ru/media/contacts/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Владимирской области,Белоусов Сергей Анатольевич,pressa@vladnarko.ru,pressa@vtsnet.ru,Бузин Петр Александрович,
Волгоградская область,ФСКН,http://34.fskn.gov.ru/index.php/press-sluzhba,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Волгоградской области,Климачева Наталья Дмитриевна,vgnarkopol@mail.ru,,Лисицкий Вячеслав Александрович,
Вологодская область,ФСКН,http://fskn35.ru/Press-sluzhba,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Вологодской области,Иванова Наталия Васильевна,uprv@fskn35.ru,gios35@yandex.ru,Глазков Михаил Николаевич,
Воронежская область,ФСКН,http://fsknvrn.ru/press.html,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков Воронежской области,Фирсова Марина Николаевна,fsknvrn@mail.ru,,Акименко Анатолий Игнатьевич,
Еврейская АО,ФСКН,,,,,,,относится к Хабаровскому краю
Забайкальский край,ФСКН,http://www.75.fskn.gov.ru/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Забайкальскому краю,?,fskn75@ya.ru,,Инхереев Борис Васильевич,
Ивановская область,ФСКН,http://www.37.fskn.gov.ru/index.php?option=com_content&view=article&id=16&Itemid=23,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Ивановской области,?,info@37.fskn.gov.ru,,Бакулин Виктор Евгеньевич,
Иркутская область,ФСКН,http://www.ufskn38.ru/2009-04-27-08-01-33,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Иркутской области,?,pressa@ufskn38.ru,,Сальник Александр Викторович,
Калининградская область,ФСКН,http://www.ufskn39.ru/2325.html,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков России по Калининградской области,?,omvp39@bk.ru,ufskn39@etype.ru,Саржан Игорь Владимирович,
Калужская область,ФСКН,http://www.40.fskn.gov.ru/ob_upravlenii/svedeniya_o_sredstvah_massovoy_informatsii/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Калужской области,Осина Юлия Геннадиевна,gios-k@yandex.ru,gios-kaluga@yandex.ru,Смирнов Борис Зафарович,
Камчатский край,ФСКН,http://fskn.gov.ru/pages/main/info/map/dfo/4900/index.shtml,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Камчатскому краю,?,ufskn41@mail.kamchatka.ru,,Давыдов Степан Николаевич,Ошибочный адрес
Кемеровская область,ФСКН,http://42.fskn.gov.ru/kontakty/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Кемеровской области,Карагужева Ольга Сергеевна,pressa@gnk-kuzbass.ru,,Безрядин Сергей Алексеевич,
Кировская область,ФСКН,http://www.43.fskn.gov.ru/pressa/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Кировской области,Печенкина Елена Александровна ,pressa@43.fskn.gov.ru,,Коновалов Вадим Анатольевич,
Костромская область,ФСКН,http://fskn.gov.ru/pages/main/info/map/cfo/kostroma/index.shtml,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Костромской области,?,pressa@44.fskn.gov.ru,,Синицких Александр Николаевич,
Краснодарский край,ФСКН,http://www.fskn-kuban.ru/2013-08-26-10-55-00.html,Региональное Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Краснодарскому краю,Мартынова Татьяна Эдуардовна ,fsknkrrpress@mail.ru,,Лавров Сергей Иванович,
Красноярский край,ФСКН,http://24.fskn.gov.ru/indexe49e.html?option=com_content&view=article&id=69&Itemid=79,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Красноярскому краю,Трутнева Анна Вадимовна,tan@gnk.krasnoyarsk.ru,,Шульгин Сергей Викторович,
Курганская область,ФСКН,http://fskn.gov.ru/pages/main/info/map/ufo/4846/index.shtml,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Курганской области,?,gnk@zaural.ru,,Давыденко Анатолий Иванович,Ошибочный адрес
Курская область,ФСКН,http://46.fskn.gov.ru/contacts.html,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Курской области,?,46fskn@mail.ru,,Горячев Олег Эдуардови,
Липецкая область,ФСКН,http://www.48.fskn.gov.ru/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Липецкой области,?,prsfskn@lipetsk.ru,,Наумов Олег Леонидович,Ошибочный адрес
Магаданская область,ФСКН,http://www.49.fskn.gov.ru/index.php?newsid=201,Региональное Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Магаданской области,,gnk@maglan.ru,,Ангелов Евгений Витальевич ,
Москва,ФСКН,http://77.fskn.gov.ru/press-sl/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по городу Москве,Рассадкина Анастасия Витальевна ,press-service@nark.mos.ru,,Девяткин Юрий Владимирович,
Московская область,ФСКН,http://78.fskn.gov.ru/,Региональное Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по городу Санкт-Петербургу и Ленинградской области,?,fskn@78.fskn.gov.ru,,Черкашин Виталий Николаевич,
Мурманская область,ФСКН,http://www.51.fskn.gov.ru/index.php?option=com_contact&view=contact&id=3&Itemid=60,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Мурманской области,?,fsknmur@polarnet.ru,,Мавлютов Ринат Исхакович,
Ненецкий АО,ФСКН,,,,,,,относится к Архангельской области
Нижегородская область,ФСКН,?,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Нижегородской области,?,?,,Боровской Юрий Николаевич,
Новгородская область,ФСКН,http://www.53.fskn.gov.ru/contacts/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Новгородской области,?,ufsknnov@gmail.com,info@np.natm.ru,Шабанов Вадим Анатольевич,Ошибочный второй адрес
Новосибирская область,ФСКН,http://gnk.nsk.ru/contacts/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Новосибирской области,?,pressa_fsknsk@mail.ru,,Долбня Андрей Алексеевич,
Омская область,ФСКН,http://www.gnk.omsk.ru/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Омской области,?,pressa-ufskn55@yandex.ru,,Тарасов Алексей Владимирович,
Оренбургская область,ФСКН,http://www.56.fskn.gov.ru/index.php/2014-01-16-06-13-29,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Ярославской области,Яровая Татьяна Васильевна,pressa@56.fskn.ru,,Чуксин Сергей Александрович,
Орловская область,ФСКН,http://57.fskn.gov.ru/index.php?option=com_content&view=article&id=47&Itemid=86,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Орловской области,?,gios@57.fskn.gov.ru,,Аблязов Эдуард Владимирович,
Пензенская область,ФСКН,http://58.fskn.gov.ru/penza/strukt.asp,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Пензенской области,?,omvp-penza@mail.ru.,,Денисов Юрий Александрович,
Пермский край,ФСКН,http://59.fskn.gov.ru/UPRAVA/index.htm,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Пермскому краю,?,email@59.fskn.gov.ru,,Малиновский Александр Иванович,
Приморский край,ФСКН,http://www.25.fskn.gov.ru/JM/index.php/extensions,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Приморскому краю,?,narkopress@mail.ru,info@25.fskn.gov.ru,Степаненко Игорь Геннадьевич,
Псковская область,ФСКН,http://www.gnk-pskov.ru/index.php?option=com_content&task=view&id=902&Itemid=93,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Псковской области,Мирвалиева Ольга Александровна,gmvp@gnk-pskov.ru,,Сапожников Максим Сергеевич,
Республика Адыгея,ФСКН,,,,,,,относится к Краснодарскому краю
Республика Алтай,ФСКН,,,,,,,относится к Алтайскому краю
Республика Башкортостан,ФСКН,http://www.gnkrb.ru/structure/post/1/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Башкортостан,Покотило Роман Николаевич,UFSKN19@YANDEХ.RU,,Митюков Александр Витальевич,Ошибочный адрес
Республика Бурятия,ФСКН,http://www.03.fskn.gov.ru/rukovodstvo/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Бурятия,?,ufskn-bur@yandex.ru,info@03.fskn.gov.ru,Титов Сергей Иванович,
Республика Дагестан,ФСКН,http://www.05.fskn.gov.ru/press%20office/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Дагестан,Шихабидов Ширинбек Абдулкеримович,fskn_dag@mail.ru,fskn_dag_press@mail.ru,Муслимов Энрик Селимович,
Республика Ингушетия,ФСКН,http://06fskn.ru/index.php/2010-05-17-16-21-53,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Ингушетия,?,032600k@mail.ru,070600@mail.ru,Наурбиев Алик Салманович,
Республика Кабардино-Балкария,ФСКН,http://www.07.fskn.gov.ru/index.php?option=com_content&view=article&id=16&Itemid=45,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Кабардино-Балкарской Республике,,ufskn.pokbr@yandex.ru,fsknkbr1@rambler.ru,Сокуров Олег Хабалович,
Республика Калмыкия,ФСКН,,,,,,,относится к Астраханской области
Республика Карачаево-Черкессия,ФСКН,http://09.fskn.gov.ru/index/obshhaja_informacija/0-5,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Карачаево-Черкесской Республике,?,ufskn09@yandex.ru,,Чарзавакян Роберт Грантович,
